Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
03/03/2024,14:30,FC Koln,Leverkusen,0,2,A,6,17,0,6,10,9,1,9,2,2,1,0
03/03/2024,16:30,Hoffenheim,Werder Bremen,2,1,H,14,18,7,8,11,10,3,3,5,1,1,0
08/03/2024,19:30,Stuttgart,Union Berlin,2,0,H,14,10,5,4,7,14,4,3,1,2,0,1
09/03/2024,14:30,Augsburg,Heidenheim,1,0,H,8,6,4,1,14,20,5,2,1,3,0,0
09/03/2024,14:30,Bayern Munich,Mainz,8,1,H,25,13,12,3,8,7,6,7,1,1,0,0
09/03/2024,14:30,M'gladbach,FC Koln,3,3,D,16,12,5,5,15,15,8,3,3,4,0,0
09/03/2024,14:30,RB Leipzig,Darmstadt,2,0,H,28,9,8,4,3,14,8,4,0,3,0,0
09/03/2024,17:30,Werder Bremen,Dortmund,1,2,A,15,13,5,6,6,8,10,4,1,2,0,1
10/03/2024,14:30,Bochum,Freiburg,1,2,A,18,9,6,5,11,11,12,5,3,7,0,0
10/03/2024,16:30,Ein Frankfurt,Hoffenheim,3,1,H,17,6,7,2,11,10,5,1,2,3,0,2
10/03/2024,18:30,Leverkusen,Wolfsburg,2,0,H,19,2,7,1,6,7,9,2,1,3,0,1
15/03/2024,19:30,FC Koln,RB Leipzig,1,5,A,9,23,2,7,11,12,3,6,2,2,0,0
16/03/2024,14:30,Darmstadt,Bayern Munich,2,5,A,7,26,3,6,9,6,2,9,1,0,0,0
16/03/2024,14:30,Heidenheim,M'gladbach,1,1,D,16,6,5,2,16,8,10,4,1,3,0,0
16/03/2024,14:30,Mainz,Bochum,2,0,H,13,11,4,4,15,15,7,6,4,3,0,0
16/03/2024,14:30,Union Berlin,Werder Bremen,2,1,H,11,10,5,2,16,16,4,3,3,5,0,0
16/03/2024,14:30,Wolfsburg,Augsburg,1,3,A,15,14,4,5,12,19,8,6,1,3,1,0
16/03/2024,17:30,Hoffenheim,Stuttgart,0,3,A,8,25,1,12,8,12,5,6,1,0,0,0
17/03/2024,14:30,Freiburg,Leverkusen,2,3,A,9,18,3,7,13,6,2,8,1,0,0,0
17/03/2024,16:30,Dortmund,Ein Frankfurt,3,1,H,16,8,6,6,5,9,8,3,1,2,0,0
30/03/2024,14:30,Ein Frankfurt,Union Berlin,0,0,D,18,10,4,2,8,14,6,2,3,1,0,0
30/03/2024,14:30,Leverkusen,Hoffenheim,2,1,H,36,6,12,2,9,8,9,2,0,1,0,0
30/03/2024,14:30,M'gladbach,Freiburg,0,3,A,18,13,4,8,11,7,14,1,1,0,0,0
30/03/2024,14:30,RB Leipzig,Mainz,0,0,D,23,8,10,2,10,15,12,2,2,5,0,0
30/03/2024,14:30,Werder Bremen,Wolfsburg,0,2,A,6,15,1,5,13,15,3,6,4,4,1,1
30/03/2024,17:30,Bayern Munich,Dortmund,0,2,A,16,11,3,5,7,7,7,4,0,0,0,0
31/03/2024,14:30,Augsburg,FC Koln,1,1,D,24,12,6,2,9,13,12,6,0,3,0,0
31/03/2024,16:30,Stuttgart,Heidenheim,3,3,D,20,6,6,3,5,9,6,7,1,0,0,1
31/03/2024,18:30,Bochum,Darmstadt,2,2,D,20,13,7,3,7,15,6,5,2,2,0,0
05/04/2024,19:30,Ein Frankfurt,Werder Bremen,1,1,D,19,10,5,7,10,14,9,0,3,2,1,1
06/04/2024,14:30,FC Koln,Bochum,2,1,H,17,8,6,2,16,13,9,4,3,3,0,0
06/04/2024,14:30,Freiburg,RB Leipzig,1,4,A,15,15,4,6,7,12,8,4,3,4,0,0
06/04/2024,14:30,Heidenheim,Bayern Munich,3,2,H,9,15,4,8,9,8,3,3,2,0,0,0
06/04/2024,14:30,Mainz,Darmstadt,4,0,H,18,14,9,2,16,9,5,1,2,3,0,0
